Source,Date,Name,Job Title,Work Phone Number,Whatsapp Number,work_email,Company Name,Timeline for Instrument Issuance,Annual Requirement of Such Instruments,Annual Turnover of Your Company(USD),under_which_category_you_wants_us_to_recognize,which_instruments_you_are_looking,value_of_the_instrument_you_are_looking,Additional Information You'd Like to Share,city,Country,Assigned date,Assigned person,Sales Email Id,Reporting Name,Reporting TFS
Website,03/04/2024,sanjay1,test1,85206841,86224001,spkl@gmail.com,Self-Employed1,10 days,nothig1,1_usd ,Health care,financial_bank_gaurante,50000 USD to 1 Million USD,testother1,Beira1,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
LinkedIn,03/04/2024,sanjay2,test2,85206842,86224002,sanjay2@gmail.in,Self-Employed2,20 days,nothig2,2_usd,Importer,financial_bank_gaurante,"50,000 Million USD to 1 Million USD",testother2,Beira2,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Facebooks Ads,03/04/2024,sanjay3,test3,85206843,86224003,sanjay3@gmail.in,Self-Employed3,30 days,nothig3,1_usd ,Exporter,financial_bank_gaurante,2 Million USD to 5 Million USD,testother3,Beira3,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Google Ads,03/04/2024,sanjay4,test4,85206844,86224004,sanjay4@gmail.in,Self-Employed4,40 days,nothig4,2_usd,Contactor,financial_bank_gaurante,5 Million USD to 10 Million USD,testother4,Beira4,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website Chat,03/04/2024,sanjay5,test5,85206845,86224005,sanjay5@gmail.in,Self-Employed5,50 days,nothig5,1_usd ,Trader,financial_bank_gaurante,10 Million USD to  above,testother5,Beira5,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website Form,03/04/2024,sanjay6,test6,85206846,86224006,sanjay6@gmail.in,Self-Employed6,60 days,nothig6,2_usd,Manufacturer,financial_bank_gaurante,1 Million USD to 2 Million USD,testother6,Beira6,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Validation Lead,03/04/2024,sanjay7,test7,85206847,86224007,sanjay7@gmail.in,Self-Employed7,70 days,nothig7,1_usd ,Online Business,financial_bank_gaurante,"50,000 million usd to 1 million usd",testother7,Beira7,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Calendly,03/04/2024,sanjay8,test8,85206848,86224008,sanjay8@gmail.in,Self-Employed8,80 days,nothig8,2_usd,Other,financial_bank_gaurante,2 million usd to 5 million usd,testother8,Beira8,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Scrapping Lead,03/04/2024,sanjay9,test9,85206849,86224009,sanjay9@gmail.in,Self-Employed9,90 days,nothig9,1_usd ,test,financial_bank_gaurante,5 million usd to 10 million usd,testother9,Beira9,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Email Marketing Lead,03/04/2024,sanjay10,test10,85206850,86224010,sanjay10@gmail.in,Self-Employed10,100 days,nothig10,2_usd,test,financial_bank_gaurante,10 million USD to  above,testother10,Beira10,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay11,test11,85206851,86224011,sanja@gmail.in,Self-Employed11,110 days,nothig11,1_usd ,test,financial_bank_gaurante,1 million usd to 2 million usd,testother11,Beira11,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay12,test12,85206852,86224012,sanjay12@gmail.in,Self-Employed12,120 days,nothig12,2_usd,test,financial_bank_gaurante,5 Million USD to 10 Million USD,testother12,Beira12,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay13,test13,85206853,86224013,sanjay13@gmail.in,Self-Employed13,130 days,nothig13,1_usd ,test,financial_bank_gaurante,othe1,testother13,Beira13,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay14,test14,85206854,86224014,sanjay14@gmail.in,Self-Employed14,140 days,nothig14,2_usd,test,financial_bank_gaurante,othe2,testother14,Beira14,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay15,test15,85206855,86224015,sanjay15@gmail.in,Self-Employed15,150 days,nothig15,1_usd ,test,financial_bank_gaurante,othe3,testother15,Beira15,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay16,test16,85206856,86224016,sanjay16@gmail.in,Self-Employed16,160 days,nothig16,2_usd,test,financial_bank_gaurante,othe4,testother16,Beira16,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
