Source,Date,Name,Job Title,Work Phone Number,Whatsapp Number,work_email,Company Name,Timeline for Instrument Issuance,Annual Requirement of Such Instruments,Annual Turnover of Your Company(USD),under_which_category_you_wants_us_to_recognize,which_instruments_you_are_looking,value_of_the_instrument_you_are_looking,Additional Information You'd Like to Share,city,Country,Assigned date,Assigned person,Sales Email Id,Reporting Name,Reporting TFS
Facebook Ads,27/10/2024,Udhaya1,,258 852068412,258 862240083,2Jumamanueljoao01@gmail.com,Self-Employed,,,,ArulSelvaRaphael,financial_bank_gaurantee,1_million_usd_to_2_million_usd,test,Beira,Mozambique,27/10/2024,Didymus Mareya,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2024,Udhaya2,-,258 852068412,258 862240083,2Jumamanueljoao01@gmail.com,Instituto Nacional de Estatística,30_days_&_above,1_-_5_instruments_per_year,test,other,financial_bank_gaurantee,1_million_usd_to_2_million_usd,test,Beira,Mozambique,27/10/2024,Didymus Mareya,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2025,Udhaya3,Owner,267 77740890,26777740890,2knowledgeissah0@gmail.com,Normalta investments pty(ltd),30_days_&_above,10_instruments_&_above_per_year,test,exporter,performance_guarantee,500000_usd_to_one_million_usd,test,Gaborone,Botswana,27/10/2025,Marco Ruiz,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2026,Udhaya4,Owner,251 910000329,251 917428286,2mussakalifa@gmail.com,Normalta investments pty(ltd),30_days_&_above,6_-_10_instruments_per_year,test,online_business,merchant_account_/_payment_gateway,100000_usd_to_500000_usd,test,Asosa,Ethiopia,27/10/2026,Alemayehu Wakuma,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2027,Udhaya5,MD,234 9116563845,234 9116563845,2obosstradinglnter@gmail.com,"Ste, Oboss Trading Enterprises",30_days_&_above,10_instruments_&_above_per_year,test,importer,tender_guarantee,100000_usd_to_500000_usd,test,Aba,Nigeria,27/10/2027,Abdou Sambou,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2028,Udhaya6,MD,91 9992611153,91 9992611153,2rajkumar4591@gmail.com,"Ste, Oboss Trading Enterprises",below_10_days,1_-_5_instruments_per_year,test,trader,letter_of_credit,100000_usd_to_500000_usd,test,Hisar,India,27/10/2028,Sakshi Bhatia,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2029,Udhaya7,Founder,91 7040954870,91 7030954870,2newcreationz2023@gmail.com,"Ste, Oboss Trading Enterprises",below_10_days,1_-_5_instruments_per_year,test,exporter,letter_of_credit,100000_usd_to_500000_usd,test,Mumbai,India,27/10/2029,Sudhakara Kempaiah,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2030,Udhaya8,Import Export,91 9811128838,91 9811128838,2singhaltraders1971@gmail.com,Singhal Traders,15_-_30_days,10_instruments_&_above_per_year,test,exporter,letter_of_credit,500000_usd_to_one_million_usd,test,New Delhi,India,27/10/2030,Shruti Desai,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2031,Udhaya9,Export,91 9528562903,91 9528562903,2dakotaagrooverseas@gmail.com,Indian agro overseas,30_days_&_above,1_-_5_instruments_per_year,test,exporter,usance_letter_of_credit,100000_usd_to_500000_usd,test,Agra,India,27/10/2031,Sravani Valivarthi,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2032,Udhaya10,Sole proprietorship,91 9873032727,91 9873032727,2besthomes98@gmail.com,Gtc,below_10_days,6_-_10_instruments_per_year,test,exporter,letter_of_credit,100000_usd_to_500000_usd,test,Delhi,India,27/10/2032,Dhaval Patel,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2033,Udhaya11,Business,254 715412481,92 9873032727,2guyojarso477@gmail.com,Marsabit county company,below_10_days,6_-_10_instruments_per_year,test,exporter,Offshore Account,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2033,Kipkurui Labatt,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2034,Udhaya12,Manager,254 733957818,93 9873032727,2skallanbaba@gmail.com,ballanjoy,below_10_days,6_-_10_instruments_per_year,test,exporter,Financial_Bank_Gaurantee,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2034,Ndiritu Kariuki,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2035,Udhaya13,director,254 729000000,94 9873032727,2stesilenterpriseslimited@yahoo.com,stesilenterpriseslimited,below_10_days,6_-_10_instruments_per_year,test,exporter,Financial_Bank_Gaurantee,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2035,Peter Ndungu,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2036,Udhaya14,director,254 716652800,95 9873032727,2wambuip97@gmail.com,Essy kims salon,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2036,Polycap Mayieka,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2037,Udhaya15,director,254 713955617,96 9873032727,2fonefunclient3@gmail.com,Najah,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2037,Samuel Nduta,sales2@euroeximbank-sales.com,test,test
